"#","DISC","Description","Publish Date","Applied Date","Attactment","View Details"
"14","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","26 February, 2025 11:21 AM","Attachments","View Submission"
"15","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","26 February, 2025 11:24 AM","Attachments","View Submission"
"16","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","26 February, 2025 11:29 AM","Attachments","View Submission"
"17","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","26 February, 2025 11:33 AM","Attachments","View Submission"
"18","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","26 February, 2025 11:35 AM","Attachments","View Submission"
"19","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","26 February, 2025 11:38 AM","Attachments","View Submission"
"20","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","26 February, 2025 11:40 AM","Attachments","View Submission"
"21","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","26 February, 2025 11:41 AM","Attachments","View Submission"
"22","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","27 February, 2025 19:09 PM","Attachments","View Submission"
"23","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","27 February, 2025 19:12 PM","Attachments","View Submission"
"24","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","27 February, 2025 19:14 PM","Attachments","View Submission"
"25","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","27 February, 2025 19:17 PM","Attachments","View Submission"
"26","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","28 February, 2025 11:30 AM","Attachments","View Submission"
"27","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","28 February, 2025 11:33 AM","Attachments","View Submission"
"28","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","02 March, 2025 01:27 AM","Attachments","View Submission"
"29","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","02 March, 2025 01:29 AM","Attachments","View Submission"
"30","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","02 March, 2025 18:48 PM","Attachments","View Submission"
"31","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","02 March, 2025 18:50 PM","Attachments","View Submission"
"32","OPEN CHALLENGE","India is witnessing the ris...                                                                                                                                India is witnessing the rise of the next generation of Engineers, capable of developing technologies in autonomous systems, intelligent machines, advanced materials, predictive algorithms, or even rocket engines, for the most sophisticated applications in defence and aerospace domains. Through the iDEX Open Challenge, we are casting the net wider, creating opportunities for innovators to propose ways for harnessing their technology capabilities to strengthen our nation’s military superiority. If you think you have an idea, technology or a product that has use in defence and aerospace, then iDEX Open Challenge is the right opportunity for you to grab. Innovators, Startups and MSMEs can now engage directly with the military through the iDEX Open Challenge to showcase their technologies, facilitated by DIO and Partner Incubators. Selected applicants are offered a chance to pitch to the iDEX grand jury and qualify for grants and investments, organized periodically throughout the year.  In case if you find any problem in submitting the application form, kindly write us on email id idexdio[at]ddpmod[dot]gov[dot]in","22 June, 2023 10:45 AM","02 March, 2025 18:53 PM","Attachments","View Submission"
